Timestamp,Face ID,Happiness Index
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
2023-07-21 18:23:23.840189,244-159-281-281-1689944003,[96.087395]
2023-07-21 18:23:23.931330,245-162-278-278-1689944003,[80.92073]
2023-07-21 18:23:24.023599,249-160-280-280-1689944004,[87.0808]
2023-07-21 18:23:24.118776,250-166-273-273-1689944004,[65.42482]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
2023-07-21 18:23:23.840189,244-159-281-281-1689944003,[96.087395]
2023-07-21 18:23:23.931330,245-162-278-278-1689944003,[80.92073]
2023-07-21 18:23:24.023599,249-160-280-280-1689944004,[87.0808]
2023-07-21 18:23:24.118776,250-166-273-273-1689944004,[65.42482]
2023-07-21 18:23:24.210532,248-163-276-276-1689944004,[85.133575]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
2023-07-21 18:23:23.840189,244-159-281-281-1689944003,[96.087395]
2023-07-21 18:23:23.931330,245-162-278-278-1689944003,[80.92073]
2023-07-21 18:23:24.023599,249-160-280-280-1689944004,[87.0808]
2023-07-21 18:23:24.118776,250-166-273-273-1689944004,[65.42482]
2023-07-21 18:23:24.210532,248-163-276-276-1689944004,[85.133575]
2023-07-21 18:23:24.309889,249-161-280-280-1689944004,[76.76633]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
2023-07-21 18:23:23.840189,244-159-281-281-1689944003,[96.087395]
2023-07-21 18:23:23.931330,245-162-278-278-1689944003,[80.92073]
2023-07-21 18:23:24.023599,249-160-280-280-1689944004,[87.0808]
2023-07-21 18:23:24.118776,250-166-273-273-1689944004,[65.42482]
2023-07-21 18:23:24.210532,248-163-276-276-1689944004,[85.133575]
2023-07-21 18:23:24.309889,249-161-280-280-1689944004,[76.76633]
2023-07-21 18:23:24.758352,251-162-282-282-1689944004,[95.21204]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
2023-07-21 18:23:23.840189,244-159-281-281-1689944003,[96.087395]
2023-07-21 18:23:23.931330,245-162-278-278-1689944003,[80.92073]
2023-07-21 18:23:24.023599,249-160-280-280-1689944004,[87.0808]
2023-07-21 18:23:24.118776,250-166-273-273-1689944004,[65.42482]
2023-07-21 18:23:24.210532,248-163-276-276-1689944004,[85.133575]
2023-07-21 18:23:24.309889,249-161-280-280-1689944004,[76.76633]
2023-07-21 18:23:24.758352,251-162-282-282-1689944004,[95.21204]
2023-07-21 18:23:24.843886,252-164-280-280-1689944004,[76.58547]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
2023-07-21 18:23:23.840189,244-159-281-281-1689944003,[96.087395]
2023-07-21 18:23:23.931330,245-162-278-278-1689944003,[80.92073]
2023-07-21 18:23:24.023599,249-160-280-280-1689944004,[87.0808]
2023-07-21 18:23:24.118776,250-166-273-273-1689944004,[65.42482]
2023-07-21 18:23:24.210532,248-163-276-276-1689944004,[85.133575]
2023-07-21 18:23:24.309889,249-161-280-280-1689944004,[76.76633]
2023-07-21 18:23:24.758352,251-162-282-282-1689944004,[95.21204]
2023-07-21 18:23:24.843886,252-164-280-280-1689944004,[76.58547]
2023-07-21 18:23:25.239879,252-165-277-277-1689944005,[56.925995]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
2023-07-21 18:23:23.285504,249-162-277-277-1689944003,[96.320564]
2023-07-21 18:23:23.368173,249-159-280-280-1689944003,[85.20458]
2023-07-21 18:23:23.468320,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.556566,245-160-280-280-1689944003,[89.50679]
2023-07-21 18:23:23.651495,242-158-284-284-1689944003,[60.470825]
2023-07-21 18:23:23.750677,242-159-283-283-1689944003,[52.643745]
